YYYYMM,NAO
195001,0.92
195002,0.40
195003,-0.36
195004,0.73
195005,-0.59
195006,-0.06
195007,-1.26
195008,-0.05
195009,0.25
195010,0.85
195011,-1.26
195012,-1.02
195101,0.08
195102,0.70
195103,-1.02
195104,-0.22
195105,-0.59
195106,-1.64
195107,1.37
195108,-0.22
195109,-1.36
195110,1.87
195111,-0.39
195112,1.32
195201,0.93
195202,-0.83
195203,-1.49
195204,1.01
195205,-1.12
195206,-0.40
195207,-0.09
195208,-0.28
195209,-0.54
195210,-0.73
195211,-1.13
195212,-0.43
195301,0.33
195302,-0.49
195303,-0.04
195304,-1.67
195305,-0.66
195306,1.09
195307,0.40
195308,-0.71
195309,-0.35
195310,1.32
195311,1.04
195312,-0.47
195401,0.37
195402,0.74
195403,-0.83
195404,1.34
195405,-0.09
195406,-0.25
195407,-0.60
195408,-1.90
195409,-0.44
195410,0.60
195411,0.40
195412,0.69
195501,-1.84
195502,-1.12
195503,-0.53
195504,-0.42
195505,-0.34
195506,-1.10
195507,1.76
195508,1.07
195509,0.32
195510,-1.47
195511,-1.29
195512,0.17
195601,-0.22
195602,-1.12
195603,-0.05
195604,-1.06
195605,2.21
195606,0.10
195607,-0.75
195608,-1.37
195609,0.24
195610,0.88
195611,0.51
195612,0.10
195701,1.05
195702,0.11
195703,-1.26
195704,0.49
195705,-0.79
195706,-0.72
195707,-1.19
195708,-0.55
195709,-1.66
195710,1.32
195711,0.73
195712,0.12
195801,-0.54
195802,-1.06
195803,-1.96
195804,0.37
195805,-0.24
195806,-1.38
195807,-1.73
195808,-1.56
195809,-0.07
195810,0.16
195811,1.64
195812,-0.70
195901,-0.87
195902,0.68
195903,-0.15
195904,0.36
195905,0.39
195906,0.40
195907,0.74
195908,0.06
195909,0.88
195910,0.89
195911,0.41
195912,0.44
196001,-1.29
196002,-1.89
196003,-0.50
196004,1.36
196005,0.45
196006,-0.21
196007,0.35
196008,-1.40
196009,0.39
196010,-1.73
196011,-0.51
196012,0.06
196101,0.41
196102,0.45
196103,0.55
196104,-1.55
196105,-0.36
196106,0.86
196107,-0.39
196108,0.90
196109,1.24
196110,0.51
196111,-0.62
196112,-1.48
196201,0.61
196202,0.55
196203,-2.47
196204,0.99
196205,-0.10
196206,0.16
196207,-2.47
196208,0.14
196209,-0.37
196210,0.41
196211,-0.23
196212,-1.32
196301,-2.12
196302,-0.96
196303,-0.43
196304,-1.35
196305,2.16
196306,-0.43
196307,-0.77
196308,-0.64
196309,1.79
196310,0.94
196311,-1.27
196312,-1.92
196401,-0.95
196402,-1.43
196403,-1.20
196404,0.36
196405,0.52
196406,1.29
196407,1.90
196408,-1.77
196409,0.20
196410,0.74
196411,-0.01
196412,-0.15
196501,-0.12
196502,-1.55
196503,-1.51
196504,0.72
196505,-0.62
196506,0.29
196507,0.32
196508,0.45
196509,0.37
196510,0.38
196511,-1.66
196512,1.37
196601,-1.74
196602,-1.39
196603,0.56
196604,-0.75
196605,0.22
196606,1.05
196607,0.32
196608,-1.76
196609,-0.45
196610,-0.68
196611,-0.04
196612,0.72
196701,-0.89
196702,0.19
196703,1.51
196704,0.18
196705,-0.99
196706,1.40
196707,0.41
196708,1.44
196709,0.93
196710,0.07
196711,0.60
196712,-0.45
196801,0.13
196802,-1.29
196803,0.40
196804,-1.08
196805,-1.76
196806,0.33
196807,-0.80
196808,-0.66
196809,-1.92
196810,-2.30
196811,-0.93
196812,-1.40
196901,-0.83
196902,-1.55
196903,-1.56
196904,1.53
196905,0.55
196906,0.55
196907,0.57
196908,-1.45
196909,2.07
196910,0.66
196911,-0.96
196912,-0.28
197001,-1.50
197002,0.64
197003,-0.96
197004,-1.30
197005,1.14
197006,1.55
197007,0.10
197008,0.10
197009,-0.09
197010,-0.92
197011,-0.60
197012,-1.20
197101,-1.13
197102,0.24
197103,-0.84
197104,-0.24
197105,0.50
197106,-1.57
197107,0.24
197108,1.55
197109,0.39
197110,0.58
197111,-0.20
197112,0.60
197201,0.27
197202,0.32
197203,0.72
197204,-0.22
197205,0.95
197206,0.88
197207,0.18
197208,1.32
197209,-0.12
197210,1.09
197211,0.54
197212,0.19
197301,0.04
197302,0.85
197303,0.30
197304,-0.54
197305,-0.44
197306,0.39
197307,0.57
197308,-0.06
197309,-0.30
197310,-1.24
197311,-0.93
197312,0.32
197401,1.34
197402,-0.14
197403,-0.03
197404,0.51
197405,-0.24
197406,-0.14
197407,-0.76
197408,-0.64
197409,0.82
197410,0.49
197411,-0.54
197412,1.50
197501,0.58
197502,-0.62
197503,-0.61
197504,-1.60
197505,-0.52
197506,-0.84
197507,1.55
197508,-0.26
197509,1.56
197510,-0.54
197511,0.41
197512,0.00
197601,-0.25
197602,0.93
197603,0.75
197604,0.26
197605,0.96
197606,0.80
197607,-0.32
197608,1.92
197609,-1.29
197610,-0.08
197611,0.17
197612,-1.60
197701,-1.04
197702,-0.49
197703,-0.81
197704,0.65
197705,-0.86
197706,-0.57
197707,-0.45
197708,-0.28
197709,0.37
197710,0.52
197711,-0.07
197712,-1.00
197801,0.66
197802,-2.20
197803,0.70
197804,-1.17
197805,1.08
197806,1.38
197807,-1.14
197808,0.64
197809,0.46
197810,1.93
197811,3.04
197812,-1.57
197901,-1.38
197902,-0.67
197903,0.78
197904,-1.71
197905,-1.03
197906,1.60
197907,0.83
197908,0.96
197909,1.01
197910,-0.30
197911,0.53
197912,1.00
198001,-0.75
198002,0.05
198003,-0.31
198004,1.29
198005,-1.50
198006,-0.37
198007,-0.42
198008,-2.24
198009,0.66
198010,-1.77
198011,-0.37
198012,0.78
198101,0.37
198102,0.92
198103,-1.19
198104,0.36
198105,0.20
198106,-0.45
198107,0.05
198108,0.39
198109,-1.45
198110,-1.35
198111,-0.38
198112,-0.02
198201,-0.89
198202,1.15
198203,1.15
198204,0.10
198205,-0.53
198206,-1.63
198207,1.15
198208,0.26
198209,1.76
198210,-0.74
198211,1.60
198212,1.78
198301,1.59
198302,-0.53
198303,0.95
198304,-0.85
198305,-0.07
198306,0.99
198307,1.19
198308,1.61
198309,-1.12
198310,0.65
198311,-0.98
198312,0.29
198401,1.66
198402,0.72
198403,-0.37
198404,-0.28
198405,0.54
198406,-0.42
198407,-0.07
198408,1.15
198409,0.17
198410,-0.07
198411,-0.06
198412,0.00
198501,-1.61
198502,-0.49
198503,0.20
198504,0.32
198505,-0.49
198506,-0.80
198507,1.22
198508,-0.48
198509,-0.52
198510,0.90
198511,-0.67
198512,0.22
198601,1.11
198602,-1.00
198603,1.71
198604,-0.59
198605,0.85
198606,1.22
198607,0.12
198608,-1.09
198609,-1.12
198610,1.55
198611,2.29
198612,0.99
198701,-1.15
198702,-0.73
198703,0.14
198704,2.00
198705,0.98
198706,-1.82
198707,0.52
198708,-0.83
198709,-1.22
198710,0.14
198711,0.18
198712,0.32
198801,1.02
198802,0.76
198803,-0.17
198804,-1.17
198805,0.63
198806,0.88
198807,-0.35
198808,0.04
198809,-0.99
198810,-1.08
198811,-0.34
198812,0.61
198901,1.17
198902,2.00
198903,1.85
198904,0.28
198905,1.38
198906,-0.27
198907,0.97
198908,0.01
198909,2.05
198910,-0.03
198911,0.16
198912,-1.15
199001,1.04
199002,1.41
199003,1.46
199004,2.00
199005,-1.53
199006,-0.02
199007,0.53
199008,0.97
199009,1.06
199010,0.23
199011,-0.24
199012,0.22
199101,0.86
199102,1.04
199103,-0.20
199104,0.29
199105,0.08
199106,-0.82
199107,-0.49
199108,1.23
199109,0.48
199110,-0.19
199111,0.48
199112,0.46
199201,-0.13
199202,1.07
199203,0.87
199204,1.86
199205,2.63
199206,0.20
199207,0.16
199208,0.85
199209,-0.44
199210,-1.76
199211,1.19
199212,0.47
199301,1.60
199302,0.50
199303,0.67
199304,0.97
199305,-0.78
199306,-0.59
199307,-3.18
199308,0.12
199309,-0.57
199310,-0.71
199311,2.56
199312,1.56
199401,1.04
199402,0.46
199403,1.26
199404,1.14
199405,-0.57
199406,1.52
199407,1.31
199408,0.38
199409,-1.32
199410,-0.97
199411,0.64
199412,2.02
199501,0.93
199502,1.14
199503,1.25
199504,-0.85
199505,-1.49
199506,0.13
199507,-0.22
199508,0.69
199509,0.31
199510,0.19
199511,-1.38
199512,-1.67
199601,-0.12
199602,-0.07
199603,-0.24
199604,-0.17
199605,-1.06
199606,0.56
199607,0.67
199608,1.02
199609,-0.86
199610,-0.33
199611,-0.56
199612,-1.41
199701,-0.49
199702,1.70
199703,1.46
199704,-1.02
199705,-0.28
199706,-1.47
199707,0.34
199708,0.83
199709,0.61
199710,-1.70
199711,-0.90
199712,-0.96
199801,0.39
199802,-0.11
199803,0.87
199804,-0.68
199805,-1.32
199806,-2.72
199807,-0.48
199808,-0.02
199809,-2.00
199810,-0.29
199811,-0.28
199812,0.87
199901,0.77
199902,0.29
199903,0.23
199904,-0.95
199905,0.92
199906,1.12
199907,-0.90
199908,0.39
199909,0.36
199910,0.20
199911,0.65
199912,1.61
200001,0.60
200002,1.70
200003,0.77
200004,-0.03
200005,1.58
200006,-0.03
200007,-1.03
200008,-0.29
200009,-0.21
200010,0.92
200011,-0.92
200012,-0.58
200101,0.25
200102,0.45
200103,-1.26
200104,0.00
200105,-0.02
200106,-0.20
200107,-0.25
200108,-0.07
200109,-0.65
200110,-0.24
200111,0.63
200112,-0.83
200201,0.44
200202,1.10
200203,0.69
200204,1.18
200205,-0.22
200206,0.38
200207,0.62
200208,0.38
200209,-0.70
200210,-2.28
200211,-0.18
200212,-0.94
200301,0.16
200302,0.62
200303,0.32
200304,-0.18
200305,0.01
200306,-0.07
200307,0.13
200308,-0.07
200309,0.01
200310,-1.26
200311,0.86
200312,0.64
200401,-0.29
200402,-0.14
200403,1.02
200404,1.15
200405,0.19
200406,-0.89
200407,1.13
200408,-0.48
200409,0.38
200410,-1.10
200411,0.73
200412,1.21
200501,1.52
200502,-0.06
200503,-1.83
200504,-0.30
200505,-1.25
200506,-0.05
200507,-0.51
200508,0.37
200509,0.63
200510,-0.98
200511,-0.31
200512,-0.44
200601,1.27
200602,-0.51
200603,-1.28
200604,1.24
200605,-1.14
200606,0.84
200607,0.90
200608,-1.73
200609,-1.62
200610,-2.24
200611,0.44
200612,1.34
200701,0.22
200702,-0.47
200703,1.44
200704,0.17
200705,0.66
200706,-1.31
200707,-0.58
200708,-0.14
200709,0.72
200710,0.45
200711,0.58
200712,0.34
200801,0.89
200802,0.73
200803,0.08
200804,-1.07
200805,-1.73
200806,-1.39
200807,-1.27
200808,-1.16
200809,1.02
200810,-0.04
200811,-0.32
200812,-0.28
200901,-0.01
200902,0.06
200903,0.57
200904,-0.20
200905,1.68
200906,-1.21
200907,-2.15
200908,-0.19
200909,1.51
200910,-1.03
200911,-0.02
200912,-1.93
201001,-1.11
201002,-1.98
201003,-0.88
201004,-0.72
201005,-1.49
201006,-0.82
201007,-0.42
201008,-1.22
201009,-0.79
201010,-0.93
201011,-1.62
201012,-1.85
201101,-0.88
201102,0.70
201103,0.61
201104,2.48
201105,-0.06
201106,-1.28
201107,-1.51
201108,-1.35
201109,0.54
201110,0.39
201111,1.36
201112,2.52
201201,1.17
201202,0.42
201203,1.27
201204,0.47
201205,-0.91
201206,-2.53
201207,-1.32
201208,-0.98
201209,-0.59
201210,-2.06
201211,-0.58
201212,0.17
201301,0.35
201302,-0.45
201303,-1.61
201304,0.69
201305,0.57
201306,0.52
201307,0.67
201308,0.97
201309,0.24
201310,-1.28
201311,0.90
201312,0.95
201401,0.29
201402,1.34
201403,0.80
201404,0.31
201405,-0.92
201406,-0.97
201407,0.18
201408,-1.68
201409,1.62
201410,-1.27
201411,0.68
201412,1.86
201501,1.79
201502,1.32
201503,1.45
201504,0.73
201505,0.15
201506,-0.07
201507,-3.18
201508,-0.76
201509,-0.65
201510,0.44
201511,1.74
201512,2.24
201601,0.12
201602,1.58
201603,0.73
201604,0.38
201605,-0.77
201606,-0.43
201607,-1.76
201608,-1.65
201609,0.61
201610,0.41
201611,-0.16
201612,0.48
201701,0.48
201702,1.00
201703,0.74
201704,1.73
201705,-1.91
201706,0.05
201707,1.26
201708,-1.10
201709,-0.61
201710,0.19
201711,-0.00
201712,0.88
201801,1.44
201802,1.58
201803,-0.93
201804,1.24
201805,2.12
201806,1.09
201807,1.39
201808,1.97
201809,1.67
201810,0.93
201811,-0.11
201812,0.61
201901,0.59
201902,0.29
201903,1.23
201904,0.47
201905,-2.62
201906,-1.09
201907,-1.43
201908,-1.17
201909,-0.16
201910,-1.41
201911,0.28
201912,1.20
202001,1.34
202002,1.26
202003,1.01
202004,-1.02
202005,-0.41
202006,-0.15
202007,-1.23
202008,0.12
202009,0.98
202010,-0.65
202011,2.54
202012,-0.30
202101,-1.11
202102,0.14
202103,0.73
202104,-1.43
