year,sf_6km,rf_6km,tp_6km,sf_10km,rf_10km,tp_10km,sf_15km,rf_15km,tp_15km,sf_20km,rf_20km,tp_20km
1950.0,693.821214345,51.35329725037497,745.1745115953751,665.908146350375,39.3551151515,705.2632615018749,654.30865269675,33.96999850699999,688.27865120375,661.79574070775,33.74459794656251,695.5403386543126
1951.0,633.5452486298126,72.19661579412497,705.7418644239376,602.5288729639999,58.27730290981249,660.8061758738124,594.684226634938,50.401827299249994,645.086053934188,599.0496886350003,50.51178847162502,649.5614771066253
1952.0,784.8741107025,91.3206743098125,876.1947850123125,754.869766621125,78.76135587368748,833.6311224948124,748.7634525417499,71.62410348868755,820.3875560304374,744.8878744548749,72.91209162568745,817.7999660805624
1953.0,748.884349275,61.44923214775,810.33358142275,726.7601718943125,48.789719059374995,775.5498909536875,719.6344951074999,42.39555510056249,762.0300502080624,730.4744421102502,43.03803934193747,773.5124814521877
1954.0,848.8068840991252,60.78600429406251,909.5928883931878,812.3636316586877,48.243826242437486,860.6074579011253,803.1031301694999,42.00803893075,845.1111691002499,802.6196196178748,40.654793104749984,843.2744127226248
1955.0,803.9852087981254,63.4054615046875,867.390670302813,766.4976747842501,50.9441308728125,817.4418056570626,752.5737233173128,43.61881736162501,796.1925406789378,754.8037009828748,45.48895048693749,800.2926514698123
1956.0,844.6922635057501,45.01852901250001,889.7107925182502,808.5427398656873,34.52964022956248,843.0723800952497,802.3455531746873,29.664186751062516,832.0097399257498,815.0068319858132,30.147375501249993,845.1542074870631
1957.0,670.6383091488751,48.7902755066875,719.4285846555626,639.3893786920627,38.04334562381252,677.4327243158752,632.368924579125,32.77982926712498,665.14875384625,637.8696779032497,32.794807358875,670.6644852621247
1958.0,755.8081296638123,59.758593633625004,815.5667232974373,722.2297486646872,47.37113288906249,769.6008815537497,717.4631942988751,40.25326883837503,757.7164631372501,724.8594931423121,41.779252134062524,766.6387452763746
1959.0,766.722140499312,65.966071206375,832.688211705687,742.3181710170622,55.404258961749974,797.7224299788122,739.1204234011875,48.751135850624976,787.8715592518125,751.9243236517495,49.633772093562534,801.5580957453121
1960.0,759.4285909656879,72.91785282724999,832.3464437929379,722.1220525740003,56.505615632687544,778.6276682066879,712.7118754859375,47.53559771518748,760.247473201125,716.1597576678128,48.00333271087496,764.1630903786877
1961.0,756.585127628375,63.863324089749995,820.4484517181249,727.0689332114379,51.945943356250005,779.0148765676879,719.4937172813753,45.00371865443749,764.4974359358129,720.1863166480003,46.2828451281875,766.4691617761879
1962.0,724.2927883661245,57.62372163968748,781.9165100058119,690.1954986539378,44.44463077743752,734.6401294313753,679.2920019271875,37.99270802206246,717.2847099492499,685.6793153413124,38.310979906062464,723.9902952473749
1963.0,753.7325977848753,45.1085166370625,798.8411144219378,719.1016915034999,35.14287038493751,754.2445618884374,713.7710348698753,29.83177224549999,743.6028071153753,718.4037670631874,30.851507269874975,749.2552743330624
1964.0,856.1388922640627,42.1853674553125,898.3242597193753,816.2802421470626,33.92182657918753,850.2020687262501,801.4805477952501,28.949031168249984,830.4295789635001,807.387109350375,30.217579529875017,837.60468888025
1965.0,713.8847340913752,45.34320096606249,759.2279350574377,671.8782379723749,36.26234550556251,708.1405834779374,661.5103053797496,31.381221227125003,692.8915266068747,666.7554634566875,32.1793576873125,698.934821144
1966.0,588.5457421350003,63.157024247875015,651.7027663828753,562.4570398483125,52.84802919756248,615.305069045875,554.5633578706248,47.52770901306251,602.0910668836873,560.3450966938127,47.153743414374986,607.4988401081877
1967.0,752.4237049121249,39.84492076912498,792.2686256812499,726.0811197268123,32.264365974499995,758.3454857013123,723.9107943616877,28.003605873999984,751.9144002356877,741.5314186930002,28.6910982725,770.2225169655002
1968.0,685.5051177984998,62.15530714406252,747.6604249425623,646.7162248349377,49.27113474787498,695.9873595828127,632.3966493335623,43.296498486187495,675.6931478197498,631.2002738372502,42.84433116468751,674.0446050019377
1969.0,738.5531599835002,50.34795581762499,788.9011158011252,711.1178075866877,40.245786349250025,751.3635939359377,699.5658433884377,34.25834014537498,733.8241835338126,701.3975526553127,34.829543593499984,736.2270962488127
1970.0,773.4111059536249,57.31706479887497,830.7281707524999,739.6788498167497,45.43583542599998,785.1146852427496,730.1014270667499,39.57032913156248,769.6717561983124,739.0818026412499,41.34819937506251,780.4300020163123
1971.0,652.4689652781876,40.955072510812506,693.4240377890002,620.3223361800628,31.685238543624983,652.0075747236879,607.5289502557495,26.819241758937487,634.3481920146869,622.8915227816251,27.95199863375,650.8435214153751
1972.0,930.9004422266872,49.23869081931248,980.1391330459998,894.9062384856253,37.94057332675001,932.8468118123753,885.6543185208121,31.955077676249992,917.6093961970621,896.005042063125,32.1963011595,928.2013432226249
1973.0,716.4124072233129,52.940441820374986,769.3528490436879,680.9215120106252,42.27344229812497,723.1949543087502,672.3532886966876,37.009102855875014,709.3623915525626,680.2316977871876,38.208697731250005,718.4403955184376
1974.0,739.1562790103125,42.437297126437514,781.59357613675,709.9411676134997,32.9306212705,742.8717888839997,703.8693396731874,28.41011586324997,732.2794555364374,708.9192795236871,29.389228957625008,738.3085084813122
1975.0,779.4685441796878,64.61000433724996,844.0785485169378,747.3539091321876,52.28198910962497,799.6358982418126,735.4768371133127,44.94641029099998,780.4232474043127,749.6244518245625,46.0084806728125,795.632932497375
1976.0,918.6155103708123,74.89964057181254,993.5151509426248,882.0305894043747,61.468785493687534,943.4993748980622,867.3748578885626,54.58169421281248,921.9565521013751,873.2057951783753,55.414609259625024,928.6204044380004
