year,tp,sf
1980,712.7095931091307,659.4712811603545
1981,669.739334676107,611.8865772743229
1982,664.4171804682412,618.5563520027797
1983,819.6249778874716,751.1981064090729
1984,846.0396590779619,767.7175723997752
1985,699.8431491063435,643.6463396250407
1986,813.9307205785115,752.527035387675
1987,845.7903023757937,775.5823433354698
1988,738.3600026397704,674.021425924937
1989,685.1425147552488,621.4879913578033
1990,760.0373076756796,693.1109428885778
1991,778.8719787953694,725.5106504217785
1992,761.6539611206055,722.1994500436787
1993,755.6785235977173,691.9050953814185
1994,681.0258569234212,620.7022350959776
1995,696.8371709696453,627.927354382833
1996,922.6085831782018,849.1288019860584
1997,841.1762252960208,764.5867620789206
1998,706.8638807017009,637.4190224123005
1999,807.7462237955729,741.301021101316
2000,792.0684363911942,705.3151820240021
2001,844.5077657292686,773.350277961731
2002,839.9641629002887,738.5987989069619
2003,887.3670419438679,781.1329518143331
2004,809.34089282608,720.5468187586463
2005,894.6867327626543,799.9504534320832
2006,706.0830126139327,629.3816342709863
2007,815.1256284866337,736.4019401658376
2008,873.0643249460859,790.1121930878958
2009,669.2305179036458,615.0521205685932
2010,807.3477207209269,690.1164632460277
2011,689.8020965347289,630.0838785057072
2012,820.6404707183832,711.8716898727417
2013,795.411406094869,736.5913701496121
2014,846.8611043802891,767.575209534327
2015,735.2127401631678,681.3103285013837
2016,830.8959838104247,760.7865288035075
2017,854.662090866089,776.3674829654697
2018,817.5041162109372,744.2620238456724
2019,694.9287183965043,629.3636537863415
2020,809.0168198954265,728.8617012233731
