year,tp,sf
1958,819.2526118728399,721.1265496089709
1959,858.7042101943016,751.8813248028363
1960,867.2831050176383,762.0542366530849
1961,787.1215803013564,690.7353641993709
1962,779.2079433816195,688.1017094930012
1963,798.2326995366574,708.0912132048328
1964,936.229822856617,832.8336425754404
1965,766.7858160687686,678.8069373178113
1966,630.7546237869024,546.3987042597131
1967,808.407337729454,722.6482602589757
1968,739.9844869848013,650.4983687746311
1969,738.8678360300064,654.6801555187224
1970,827.6538595112562,732.176639210071
1971,686.8587231051921,607.3646366058646
1972,1066.8245077718734,946.764740843869
1973,834.1832904882192,738.4157073488551
1974,810.279250004673,714.945481329896
1975,925.8319825066566,816.465118090303
1976,1040.9014497776984,907.6839235439347
1977,856.2829152589082,757.5444229381495
1978,904.1770068398238,793.679305966283
1979,789.4995114134789,697.8350486570041
1980,831.5155660600662,739.6992075322245
1981,767.3223013882638,670.188978201101
1982,753.8711449228286,665.5001646731462
1983,902.741238867569,797.5495287281237
1984,976.4617126534463,847.6366114085513
1985,792.3561267616749,702.5964738223365
1986,910.8472326551914,804.5002892726803
1987,943.8236649631024,833.516335422634
1988,850.5379218730926,744.9284091756288
1989,785.3871482672215,684.4751944281969
1990,826.1193612767696,723.5256437741241
1991,833.6044514353753,738.6102154143704
1992,819.1108453402519,730.8936132327675
1993,826.5058162723541,727.4055822722063
1994,748.9276555146694,660.1218405151909
1995,746.8066387656211,655.7075773242171
1996,981.3516245919227,871.0063634963011
1997,894.3985780997754,786.9545753970325
1998,754.245850907135,659.9183157705356
1999,835.4333047400951,738.3592079795651
2000,838.0935135942937,734.9421708538715
2001,875.476394700408,776.0990668314124
2002,866.6944369754076,755.0968712997952
2003,917.1851206200362,799.9487379377076
2004,848.737658030653,739.3643787897902
2005,918.9371102609635,808.5990685461826
2006,748.4764566559554,651.6880761216956
2007,833.3942692982674,730.1446226270715
2008,911.4592204501629,796.8233292802809
2009,710.545764611721,628.111671607731
2010,843.2914445197582,724.4421005975848
2011,746.0713898462295,654.2757410315054
2012,848.3994774499894,729.9577119186405
2013,856.425998773241,760.519960213403
2014,888.9059482993841,778.4765374537884
2015,802.2891990432978,708.9780176632039
2016,883.2316661844254,778.041638163355
2017,908.2822470032215,796.3476447153917
2018,874.8484874380589,766.4055083317171
2019,750.1054556289672,659.3451208490196
2020,876.4165563618899,763.4288251572692
